entity,coupled,degree,average-revs
Craft.Net.Data/Blocks/CarrotBlock.cs,Craft.Net.Data/Blocks/PotatoBlock.cs,100,6
Craft.Net.Data/Items/CarrotItem.cs,Craft.Net.Data/Items/PotatoItem.cs,100,5
Craft.Net.Server/Worlds/Generation/FlatlandGenerator.cs,Craft.Net.Server/Worlds/Generation/IWorldGenerator.cs,80,8
Craft.Net.Data/WindowArea.cs,Craft.Net.Data/Windows/InventoryWindow.cs,76,7
Craft.Net.Server.Test/Craft.Net.Server.Test.csproj,TestServer/TestServer.csproj,76,7
Craft.Net.Server/Packets/PlayerPositionAndLookPacket.cs,Craft.Net.Server/Packets/PlayerPositionPacket.cs,72,13
Craft.Net.Server/Worlds/Chunk.cs,Craft.Net.Server/Worlds/Generation/FlatlandGenerator.cs,71,7
Craft.Net.Data.Test/Craft.Net.Data.Test.csproj,Craft.Net/Craft.Net.csproj,66,8
Craft.Net.Server/Worlds/Chunk.cs,Craft.Net.Server/Worlds/World.cs,55,9
Craft.Net.Server/Worlds/Generation/IWorldGenerator.cs,Craft.Net.Server/Worlds/World.cs,52,10
Craft.Net.Server/Worlds/Generation/FlatlandGenerator.cs,Craft.Net.Server/Worlds/World.cs,50,10
Craft.Net.Server/Packets/PlayerLookPacket.cs,Craft.Net.Server/Packets/PlayerPositionAndLookPacket.cs,50,10
Craft.Net.Server/Craft.Net.Server.csproj,Craft.Net.Server/PacketReader.cs,49,53
Craft.Net.Server/Craft.Net.Server.csproj,Craft.Net.Server/MinecraftClient.cs,45,66
Craft.Net.Server/Craft.Net.Server.csproj,Craft.Net.Server/MinecraftServer.cs,41,91
Craft.Net.Server/Packets/ClientStatusPacket.cs,Craft.Net.Server/Worlds/World.cs,41,17
Craft.Net.Server/Packets/ClientStatusPacket.cs,Craft.Net.Server/Packets/HandshakePacket.cs,40,20
Craft.Net.Server/MinecraftClient.cs,Craft.Net.Server/MinecraftServer.cs,38,89
Craft.Net.Server/Packets/Packet.cs,Craft.Net.Server/Packets/PlayerPositionAndLookPacket.cs,38,13
Craft.Net.Server/MinecraftClient.cs,Craft.Net.Server/PacketReader.cs,37,51
Craft.Net.Data/Entities/Entity.cs,Craft.Net.Data/Entities/PlayerEntity.cs,36,33
Craft.Net.Server/PacketReader.cs,Craft.Net.Server/Packets/Packet.cs,36,25
Craft.Net.Server/Packets/ClientStatusPacket.cs,Craft.Net.Server/Packets/Packet.cs,36,17
Craft.Net.Server/Craft.Net.Server.csproj,Craft.Net.Server/Packets/ClientStatusPacket.cs,35,45
Craft.Net.Data/Entities/PlayerEntity.cs,Craft.Net.Server/EntityManager.cs,35,40
Craft.Net.Server/Packets/ClientStatusPacket.cs,Craft.Net.Server/Packets/DisconnectPacket.cs,34,15
Craft.Net.Server.Test/Main.cs,Craft.Net.Server/Craft.Net.Server.csproj,33,55
Craft.Net.Server/Craft.Net.Server.csproj,Craft.Net.Server/EntityManager.cs,32,56
Craft.Net.Server/MinecraftClient.cs,Craft.Net.Server/Packets/ClientStatusPacket.cs,32,43
Craft.Net.Data/Craft.Net.Data.csproj,Craft.Net.Server/Craft.Net.Server.csproj,31,61
Craft.Net.Data.Test/EntityTest.cs,Craft.Net.Data/Entities/Entity.cs,31,19
Craft.Net.Server/PacketReader.cs,Craft.Net.Server/Packets/ClientStatusPacket.cs,30,30
